简介,关键词
中亚地区风速数据集，为tif格式。其空间范围涵盖里海在内的中亚五国地区，包括乌兹别克斯坦、哈萨克斯坦、土库曼斯坦、塔吉克斯坦和吉尔吉斯坦。该数据由GLDAS全球三小时同化数据提取获得。时间分辨率为3小时，空间分辨率为0.25°，时间范围为：2017年平均值。可以利用该数据进行中亚五国的大尺度输沙通量计算，进而估算沙丘的潜在移动速度等参数。该数据集可为中亚地区沙漠油气田与绿洲城镇风沙灾害评估提供数据支撑。,大气圈;大气风;风速;中亚国家;2017;遥感数据;遥感产品
中亚地区植被覆盖度数据，数据格式为“.tif”的栅格数据集。范围包含了里海在内的中亚五国地区。该数据由MODIS-NDVI数据集，根据干旱区植被盖度与NDVI之间的经验关系计算得到。该数据空间分辨率为500m，时间分辨率为16天，时间范围为2017年1月1日至2017年12月18日，其坐标系统为大地坐标系统。该数据集可为中亚地区沙漠油气田与绿洲城镇风沙灾害评估提供数据基础。该数据由中国科学院新疆生态与地理研究所提供。,土地资源;基础地理;地形地貌;基础数据;中亚地区;2017;基础地理
中亚地区粗糙度数据，数据格式为“.tif”的栅格数据集。范围包含了里海在内的中亚五国地区。该数据由MODIS-NDVI数据集，根据地表植被覆盖度与地表中值粒径计算得到。该数据空间分辨率为500m，时间分辨率为16天，时间范围为2017年1月1日至2017年12月18日，其坐标系统为大地坐标系统。该数据集可为中亚地区沙漠油气田与绿洲城镇风沙灾害评估提供数据基础。该数据由中国科学院新疆生态与地理研究所提供。,基础地理;地形地貌;粗糙度;中亚地区;2017;区划;灾害区划
中亚地区2017年输沙势数据集，为tif格式。其空间范围涵盖里海在内的中亚五国地区，包括乌兹别克斯坦、哈萨克斯坦、土库曼斯坦、塔吉克斯坦和吉尔吉斯坦。此输沙势为绝对输势，即各个方向的输沙通量的综合，不考虑输沙势的方向。该数据由GLDAS全球三小时同化数据提取计算获得。时间分辨率为月，空间分辨率为0.25°，时间范围为2017年。该数据可以作为沙尘传输模型的重要参数输入，也可用于评估中亚五国沙通量的总体分布情况。该数据集可作为风沙灾害评估的重要参考数据。,中亚地区;2017;基础地理;地形地貌;遥感数据;遥感产品;遥感产品
根据项目实施计划进度安排，受项目组管理委员会委托，中国科学院新疆生态与地理研究所组织一行6人考察队针对咸海周边土地沙化、盐渍化及植被建设情况，于11月15日至11月26日深入咸海周边进行了实地考察。初步了解了咸海周边土壤沙化、盐渍化的历史、现状、开展的治理工作、取得的成效、当前紧迫的问题等情况。并进行了植被和土壤取样，提出了解决问题的技术思路，即提用地下微咸、咸水种植盐生植物，实现盐碱地植被快速建植。通过实地考察，考察组认为实施盐碱地植被建设应以盐生植物为主，以乡土树种为重。根据当地盐生植物分布规律和盐碱地主要建群种特征，结合实施地的气候条件，应该重点选择盐穗木等7种盐生植物进行种植示范。考察组在实际调查后，提出了关于盐碱地植被建设的三条具体建议。,乌兹别克斯坦;土壤;土壤盐渍度;2018;土壤学;生物圈;土壤
"钻孔位置在加格达奇向北约7km附近（50.47°N, 124.23°E)一个湿地里面,地表泥炭土层较厚约80cm。 钻孔直径为40mm，深度为20~60 m的钻孔，利用冻土工程国家重点实验室研制的热敏电阻（精度±0.05℃）对中俄原油管道沿线冻土地温进行监测，获取地层信息、冻土地温、地表温度、活动层厚度等关键冻土特征参数。测温孔有三个，一个是管道附近T1（距离一线管中心2m），一个是天然孔T2（距离一线管中心约16.6m），第三个孔T3，距离管道二线约50m。2014年10月~2017年10月期间，T1和T2进行每年一次的人工监测。T3从2018年6月12日开始连续自动化监测。至此，三个孔得到连续时间序列的地温数据。通过该地温监测资料可分析中俄原油管道沿线多年冻土的发育特征、历史演化趋势及其对气候变化的响应过程。",冰冻圈;冻土;加格达奇;2012-2018;中俄原油管道沿线;地温;冰冻圈
该数据为涵盖六大经济走廊的坡度数据，能够反映出六大经济走廊地表单元陡缓的程度，单位°。该数据空间分辨率为0.016度，约为1.8km，经度范围12.09°E-180°，维度范围10.99°S-90°N，来源自美国国家海洋和大气管理局构建的Global Relief Model，基于“一带一路”国家边界裁剪得到。该数据是评估六大经济走廊中的自然灾害(包括泥石流、滑坡、山洪等灾害)风险所必需的基础数据之一，应用频率高与前景广泛。,泛第三极;2018;基础地理;地形地貌;坡度;灾害;自然灾害
该数据为涵盖六大经济走廊的DEM数据，能够反映出六大经济走廊的海拔高度，单位米(m)。该数据空间分辨率为0.016度，约为1.8km，经度范围12.09°E-180°，纬度范围10.99°S-90°N，来源自美国国家海洋和大气管理局构建的Global Relief Model，并基于现阶段“一带一路”主要边界裁剪得到。该数据是评估六大经济走廊中的自然灾害(包括泥石流、滑坡、山洪等灾害)风险所必需的基础数据之一，应用频率高与前景广泛。,基础地理;地形地貌;DEM;六大经济走廊;2018;基础地理;地形地貌
本数据集基础数据源提供逐小时、逐日到逐年时间分辨率不等的气象数据，观测站基础观测数据可提供包括温度、降水、露点、风速等在内的气象环境信息。本数据集主要覆盖泛第三极东南亚及中东地区关键节点区域。数据处理的主要步骤为：首先从众多基础气象数据中筛选得到日最高温度数据；综合日最高温相对湿度关系，基于气象站露点温度数据，完成日相对湿度计算。该数据集对评价关键节点区域的高温天气过程提供了基础资料和有力参考。,大气圈;基础地理;大气温度;最高/最低温度;泛第三极;2000-2016;大气圈
此数据集以百米级危险性评估数据集和百米级脆弱性评估数据集为基础，分别赋予危险性和脆弱性不同的权重（其中危险性权重为0.8，脆弱性权重为0.2），相加计算获得了34个关键节点百米级的风险评估数据集。该数据集评估了“一带一路”重点区域在极端降水事件下的洪涝灾害风险，为当地政府部门决策提供依据，同时以便在洪涝灾害发生前进行预警，从而可以争取到宝贵的时间采取防灾减灾措施，降低洪涝灾害所带来的人民群众生命财产损失。,大气圈;降水;降水量;遥感数据;遥感产品;大气遥感产品;泛第三极
34个关键节点百米级脆弱性评估数据集评估了“一带一路”重点区域在极端降水事件下的洪涝灾害危险性，为当地政府部门决策提供依据，同时以便在洪涝灾害发生前进行预警，从而可以争取到宝贵的时间采取防灾减灾措施，降低洪涝灾害所带来的人民群众生命财产损失。此数据集以“一带一路”34个关键节点的GDP、人口、土地利用、路网、河网数据为基础，结合ArcGIS中的空间分析方法，赋予各指标相应的权重，构建评估了34个关键节点在极端降水条件下发生洪涝灾害的脆弱性，并用自然断点法将脆弱性分为5个等级，分别代表无脆弱性，低脆弱性，中脆弱性，高脆弱性，极高脆弱性。,大气圈;降水;降水量;遥感数据;遥感产品;大气遥感产品;泛第三极
2015年公里格网的人口数据，每个格网表达该范围内的人口总的数量。该数据来源于美国哥伦比亚大学社会经济数据应用中心，对该数据进行投影转换、裁剪等处理加工得到“一带一路”沿线34个关键节点区域的公里格网人口信息。该数据是以行政单元的人口普查数据，通过空间尺度转换得到规则的公里格网人口数据，每个格网人口是按各行政单元人口和面积进行面积加权得到。人口数据可用于诸多领域，包括城市规划、选举、风险评估、灾害救援、疾病防控、减贫扶贫等。注：该数据仅为初始数据，后续将结合人口普查、建筑物以及GIS遥感等数据进一步加工处理得到更加精确的人口格网数据。,泛第三极;2015;人文因素/自然资源;人口;人口
国内生产总值(GDP)是衡指一个国家(或地区)所有常驻单位，在一定时期内，生产的全部最终产品和服务价值的总和，是衡量一个国家的总体经济状况重要指标。收集公开的GDP数据，以联合国发布的2010年公里尺度全球GDP网格数据为基础，获取34个节点区域的总GDP数量，再以节点区域的灯光数据、土地利用数据等为辅助数据，经过数据预处理、数据插值和多元回归分析，建立GDP与百米尺度多元数据间的关系，获得GDP密度分布，进而推测获得34个关键节点区域的GDP百米格网数据。,人文因素/自然资源;经济资源;GDP;泛第三极;2010;人文因素/自然资源;经济资源
